tanggal_kejadian,provinsi,kabupaten_kota,tempat_sekolah,bergejala,meninggal
29 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,SDN Mendak 1,20 Siswa,
29 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,SMPN 1 Ponjong,20 Siswa,
29 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,SMA Pembangunan 3 Ponjong,20 Siswa,
29 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,SMK Ma'Arif,20 Siswa,
29 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,SMK Muhammadiyah,21 Siswa,
3 November 2025,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,TBA (Tidak disebutkan),547 Siswa,
23 Januari 2026,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,SMP Muhammadiyah Playen,"48 Siswa, 9 Guru dan 1 Kepala Sekolah",
15 Oktober 2025,Daerah Istimewa Yogyakarta,Kota Yogyakarta,SMAN 1 Yogyakarta,426 Siswa,
15 Oktober 2025,Daerah Istimewa Yogyakarta,Kota Yogyakarta,SMA Muhammadiyah 7 Yogyakarta,65 Siswa,
31 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Bantul,SD 2 Bakulan,47 Siswa,
31 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Bantul,SMPN 1 jetis,47 Siswa,
31 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Bantul,SMPN 3 Jetis,47 Siswa,
31 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Bantul,SMP Muhammadiyah Pulokasang,47 Siswa,
31 Oktober 2025,Daerah Istimewa Yogyakarta,Kabupaten Bantul,SMAN 1 Jetis,49 Siswa,
2 Oktober 2024,Jawa Timur,Kabupaten Nganjuk,SDN Banaran I,7 Siswa,
4 September 2025,Jawa Timur,Kabupaten Situbondo,SMAN 1 Panji,232 Siswa,
9 September 2025,Jawa Timur,Kabupaten Pamekasan,Lembaga Pendidikan Al-Falah,18 Siswa,
9 September 2025,Jawa Timur,Kabupaten Pamekasan,Lembaga Pendidikan Al-Amin,19 Siswa,
17 September 2025,Jawa Timur,Kabupaten Pamekasan,SDN Pasanggar 1 Pegantenan,8 Siswa,
15 Oktober 2025,Jawa Timur,Kabupaten Pamekasan,SDN Toronan 1,9 Siswa,
6 November 2025,Jawa Timur,Kabupaten Pamekasan,MTS Al-Ula,17 Siswa,
6 November 2025,Jawa Timur,Kabupaten Pamekasan,MA Al Islamiyah Blumbungan,3 Siswa,
17 September 2025,Jawa Timur,Kabupaten Lamongan,SMAN 2 Lamongan,18 Siswa,
24 September 2025,Jawa Timur,Kabupaten Bojonegoro,SDN Semanding,7 Siswa,
1 Oktober 2025,Jawa Timur,Kabupaten Bojonegoro,SMAN 1 Kedungadem,544 Siswa,
2 Oktober 2025,Jawa Timur,Kabupaten Bojonegoro,SD Negeri Tumbrasanom,7 Siswa,
2 Oktober 2025,Jawa Timur,Kabupaten Bojonegoro,MTs Plus Nabawi,6 Siswa,
28 November 2025,Jawa Timur,Kabupaten Bojonegoro,Pondok Pesantren Al Falah,30 Santri,
24 September 2025,Jawa Timur,Kabupaten Tuban,SMKN 1 Palang,6 Siswa,
14 Oktober 2025,Jawa Timur,Kabupaten Tuban,SMKN Tambakboyo,8 Siswa,
27 Januari 2026,Jawa Timur,Kabupaten Tuban,SMPN 1 Montong,14 Siswa,
25 September 2025,Jawa Timur,Kota Batu,SMPN 1 Kota Batu,6 Siswa,
25 September 2025,Jawa Timur,Kota Batu,SMAN 1 Kota Batu,6 Siswa,
26 September 2025,Jawa Timur,Kabupaten Jember,SDN 05 Sidomekar,16 Siswa,
5 Februari 2026,Jawa Timur,Kabupaten Jember,SMP Negeri 1 Umbulsari,112 Orang,
1 Oktober 2025,Jawa Timur,Kabupaten Ngawi,SMK Negeri 1 Sine,51 Siswa,
1 Oktober 2025,Jawa Timur,Kabupaten Ngawi,MTs Muhammadiyah Sine,5 Siswa,
26 November 2025,Jawa Timur,Kabupaten Ngawi,SDN 2 Jenggrik,17 Siswa,
26 November 2025,Jawa Timur,Kabupaten Ngawi,SDN 6 Jenggrik,17 Siswa,
26 November 2025,Jawa Timur,Kabupaten Ngawi,SDN 5 Gemarang,17 Siswa,
26 November 2025,Jawa Timur,Kabupaten Ngawi,SMPN 2 Kedunggalar,17 Siswa,
26 November 2025,Jawa Timur,Kabupaten Ngawi,SMAN 1 Kedunggalar,19 Siswa,
4 Desember 2025,Jawa Timur,Kabupaten Ngawi,Ponpes Absoru Sunah,36 Siswa,
4 Desember 2025,Jawa Timur,Kabupaten Ngawi,Ponpes Miftahul Janah,36 Siswa,
4 Desember 2025,Jawa Timur,Kabupaten Ngawi,SDN 2 Mantingan,36 Siswa,
4 Desember 2025,Jawa Timur,Kabupaten Ngawi,SDN 3 Mantingan,36 Siswa,
4 Desember 2025,Jawa Timur,Kabupaten Ngawi,SDN 5 Mantingan,36 Siswa,
4 Desember 2025,Jawa Timur,Kabupaten Ngawi,SD (Spesifik tidak disebutkan),40 Siswa,
13 Februari 2026,Jawa Timur,Kabupaten Ngawi,Ponpes Al hijrah,67 Santri,
13 Oktober 2025,Jawa Timur,Kabupaten Tulungagung,SDN 1 Tanggung,34 Siswa,
13 Oktober 2025,Jawa Timur,Kabupaten Tulungagung,SMPN 1 Boyolangu,34 Siswa,
20 Januari 2026,Jawa Timur,Kabupaten Tulungagung,SMKN 3 Boyolangu,123 Siswa,
22 Januari 2026,Jawa Timur,Kabupaten Tulungagung,SMK Sore Tulungagung,15 Siswa,
10 Februari 2026,Jawa Timur,Kabupaten Tulungagung,SDN 3 Bungur,24 Siswa,
17 Oktober 2025,Jawa Timur,Kabupaten Magetan,SDN 2 Kediren,6 Siswa,
17 Oktober 2025,Jawa Timur,Kabupaten Magetan,MI Nurul Dholam,6 Siswa,
23 Oktober 2025,Jawa Timur,Kabupaten Banyuwangi,MAN 1 Banyuwangi,112 Siswa,
24 Oktober 2025,Jawa Timur,Kabupaten Banyuwangi,SMPN 3 Kalipuro,44 Siswa,
24 Oktober 2025,Jawa Timur,Kabupaten Banyuwangi,MA Nurul Khairoh,44 Siswa,
24 Oktober 2025,Jawa Timur,Kabupaten Banyuwangi,SMA NU Gombengsari,45 Siswa,
23 Oktober 2025,Jawa Timur,Kabupaten Malang,MTs Al-Khalifah,38 Siswa,
11 Februari 2026,Jawa Timur,Kabupaten Malang,MI Al Maarif 9,9 Siswa,
27 November 2025,Jawa Timur,Kabupaten Madiun,SDN Klecorejo,16 Siswa,
27 November 2025,Jawa Timur,Kabupaten Madiun,SDN 1 Darmorejo,16 Siswa,
27 November 2025,Jawa Timur,Kabupaten Madiun,SDN 2 Kebonagung,17 Siswa,
3 Desember 2025,Jawa Timur,Kabupaten Bondowoso,SDN 1 Sukorejo,19 Siswa,
3 Desember 2025,Jawa Timur,Kabupaten Bondowoso,SDN 2 Sukorejo,19 Siswa,
3 Desember 2025,Jawa Timur,Kabupaten Bondowoso,SMP (Spesifik tidak disebutkan),19 Siswa,
3 Desember 2025,Jawa Timur,Kabupaten Bondowoso,SMA (Spesifik tidak disebutkan),20 Siswa,
10 Januari 2026,Jawa Timur,Kabupaten Mojokerto,Ponpes An-Nur,260 Siswa,
10 Januari 2026,Jawa Timur,Kabupaten Mojokerto,Ponpes Al-Hidayah,260 Siswa,
10 Januari 2026,Jawa Timur,Kabupaten Mojokerto,SMPN 2 Kutorejo,260 Siswa,
15 Januari 2026,Jawa Timur,Kota Mojokerto,SDN 5 Wates,TBA (Spesifik tidak disebutkan),
15 Januari 2026,Jawa Timur,Kota Mojokerto,SDN 6 Wates,TBA (Spesifik tidak disebutkan),
15 Januari 2026,Jawa Timur,Kota Mojokerto,SMAN 2 Mojokerto,TBA (Spesifik tidak disebutkan),
2 Februari 2026,Jawa Timur,Kota Surabaya,SDN 1 Babat Jerawat,27 Siswa,
Awal Februari 2026,Jawa Timur,Kabupaten Trenggalek,SD (Spesifik tidak disebutkan),78 Siswa,
Awal Februari 2026,Jawa Timur,Kabupaten Trenggalek,SMP (Spesifik tidak disebutkan),79 Siswa,
,Bali,,,,
23 April 2025,Nusa Tenggara Barat,Kabupaten Lombok Tengah,SDN Repuk Tunjang,5 Siswa,
17 Januari 2026,Nusa Tenggara Barat,Kabupaten Lombok Tengah,SDN 1 Darmaji,19 Siswa,
17 Januari 2026,Nusa Tenggara Barat,Kabupaten Lombok Tengah,MI Hidayatuslohin,19 Siswa,
19 Agustus 2025,Nusa Tenggara Barat,Kabupaten Lombok Timur,SMK Karya Adi Husada,Belasan Siswa,
13 Oktober 2025,Nusa Tenggara Barat,Kabupaten Lombok Timur,MA Ma'arif Pondok Pesantren Baitul Rahman,51 Santri,
17 Oktober 2025,Nusa Tenggara Barat,Kabupaten Lombok Timur,SMP Islam Terpadu Lukman Hakim Pohgading,23 Siswa,
26 Januari 2026,Nusa Tenggara Barat,Kabupaten Lombok Timur,TBA (Tidak disebutkan),Puluhan siswa,
3 September 2025,Nusa Tenggara Barat,Kabupaten Lombok Barat,SDN 1 Selat,17 Siswa,
3 September 2025,Nusa Tenggara Barat,Kabupaten Lombok Barat,SDN 2 Nyur Lembang,2 Siswa,
24 September 2025,Nusa Tenggara Barat,Kabupaten Lombok Barat,MTS (Spesifik tidak disebutkan),26 Santri,
17 September 2025,Nusa Tenggara Barat,Kabupaten Sumbawa,MTSN 2 Sumbawa,94 siswa,
17 September 2025,Nusa Tenggara Barat,Kabupaten Sumbawa,SDN Lamenta,1 siswa,
17 September 2025,Nusa Tenggara Barat,Kabupaten Sumbawa,MIN 3 Sumbwa,20 siswa,
17 September 2025,Nusa Tenggara Barat,Kabupaten Sumbawa,MAN 3 Sumbawa,11 siswa,
12 Oktober 2025,Nusa Tenggara Barat,Kota Bima,SDN 11 Kota Bima,11 Siswa,
12 Oktober 2025,Nusa Tenggara Barat,Kota Bima,SDN 42 Kota Bima,12 Siswa,
31 Oktober 2025,Nusa Tenggara Barat,Kabupaten Sumbawa Barat,Pondok Pesantren Himatul Ummah,35 Siswa,
31 Oktober 2025,Nusa Tenggara Barat,Kabupaten Sumbawa Barat,SMPN 4 Brang Rea,36 Siswa,
11 Februari 2026,Nusa Tenggara Barat,Kabupaten Lombok Utara,SDN 2 Malaka,15 Siswa,
11 Februari 2026,Nusa Tenggara Barat,Kabupaten Lombok Utara,SDN 4 Malaka,15 Siswa,
18 Februari 2025,Nusa Tenggara Timur,Kabupaten Sumba Timur,SDK Andaluri,29 Siswa,
22 Juli 2025,Nusa Tenggara Timur,Kota Kupang,SMP Negeri 08 Kota Kupang,186 Siswa,
23 Juli 2025,Nusa Tenggara Timur,Kota Kupang,SD Negeri Tenau,13 Siswa,
24 September 2025,Nusa Tenggara Timur,Kota Kupang,SD Inpres Liliba,11 Siswa,
23 Juli 2025,Nusa Tenggara Timur,Kabupaten Kupang,SMA Negeri 1 Taebenu,2 Siswa,
23 Juli 2025,Nusa Tenggara Timur,Kabupaten Sumba Barat Daya,SMAN 1 Kota Tambolaka,58 Siswa,
23 Juli 2025,Nusa Tenggara Timur,Kabupaten Sumba Barat Daya,SMKN 2 Tambolaka,7 Siswa,
23 Juli 2025,Nusa Tenggara Timur,Kabupaten Sumba Barat Daya,SMK Don Bosco,10 Siswa,
10 November 2025,Nusa Tenggara Timur,Kabupaten Sumba Barat Daya,SMA Manda Elu,126 Siswa,
10 November 2025,Nusa Tenggara Timur,Kabupaten Sumba Barat Daya,SMAK Alfonsus Waitabula,126 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,SD GMIT Soe 2,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,SD Oenasi,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,SD Inpres Soe,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,SD Advent,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,Posyandu Kota Baru,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,Posyandu Bhayangkari,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,Pasyandu Nonohonis,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,Posyandu Maleset,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,SMA Karya,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,Paud Cendana,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,TK Et Labora,32 Siswa,
3 Oktober 2025,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan,TK Oenasi,32 Siswa,
26 November 2025,Nusa Tenggara Timur,Kabupaten Ngada,SD Trikora,Ratusan Siswa,
26 November 2025,Nusa Tenggara Timur,Kabupaten Ngada,SD Inpres Waturutu,Ratusan Siswa,
26 November 2025,Nusa Tenggara Timur,Kabupaten Ngada,SDK Regina Pacis,Ratusan Siswa,
27 November 2025,Nusa Tenggara Timur,Kabupaten Timur Tengah Utara,PAUD Kensulat,3 Siswa,
27 November 2025,Nusa Tenggara Timur,Kabupaten Timur Tengah Utara,SDK Kefamenanu,3 Siswa,
27 November 2025,Nusa Tenggara Timur,Kabupaten Timur Tengah Utara,SDN Gua Aplasi,3 Siswa,
27 November 2025,Nusa Tenggara Timur,Kabupaten Timur Tengah Utara,SDK Peboko,3 Siswa,
29 Januari 2026,Nusa Tenggara Timur,Kabupaten Manggarai Barat,SDI Golo Welu 2,26 Siswa,
29 Januari 2026,Nusa Tenggara Timur,Kabupaten Manggarai Barat,SDI Golo Bombong,26 Siswa,
29 Januari 2026,Nusa Tenggara Timur,Kabupaten Manggarai Barat,SMPN 2 Kuwus,26 Siswa,
29 Januari 2026,Nusa Tenggara Timur,Kabupaten Manggarai Barat,SMAN 1 Kuwus,26 Siswa,
29 Januari 2026,Nusa Tenggara Timur,Kabupaten Manggarai Barat,SMKN 1 Kuwus,28 Siswa,
11 Februari 2026,Nusa Tenggara Timur,Kabupaten Manggarai,warga Kecamatan Satar Mese,131 Orang,
7 Oktober 2025,Gorontalo,Kota Gorontalo,SMK Tridarma,11 Siswa,
27 November 2025,Sulawesi Utara,Kabupaten Minahasa Utara,SMPN 2 Airmadidi,182 Siswa dan guru,
26 Januari 2026,Sulawesi Utara,Kota Tomohon,SMP Kristen 1 Woloan,49 Siswa,
26 Januari 2026,Sulawesi Utara,Kota Tomohon,SMK Negeri 1 Tomohon,49 Siswa,
26 Januari 2026,Sulawesi Utara,Kota Tomohon,SMK Sta. Familia Tomohon,49 Siswa,
26 Januari 2026,Sulawesi Utara,Kota Tomohon,SMA Karitas Tomohon,50 Siswa,
24 September 2025,Sulawesi Barat,Kabupaten Mamuju,SDN Taan Galung,12 Siswa,
24 September 2025,Sulawesi Barat,Kabupaten Mamuju,SMP Negeri 1 Tapalang,13 Siswa,
21 Oktober 2025,Sulawesi Barat,Kabupaten Mamuju,MTS Darus Qur’an Nur Hadis Nahdatul Waton Gentungan,25 Siswa dan 1 Balita,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Desa Tubo,8 Warga,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Tubo Tengah,8 Warga,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Tubo Selatan,8 Warga,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Onang Utara,8 Warga,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Tubo Poang,8 Warga,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Bonde-bonde,8 Warga,
12 Januari 2026,Sulawesi Barat,Kabupaten Majene,Onang,13 Warga,
14 Februari 2026,Sulawesi Barat,Kabupaten Polewali Mandar,SDN 10 Paku,21 Orang,
27 Agustus 2025,Sulawesi Tengah,Kota Palu,MTs Sis Al-Jufri Tatura,45 Siswa,
27 Agustus 2025,Sulawesi Tengah,Kota Palu,SMK Bina Potensi,> 100 Siswa,
16 September 2025,Sulawesi Tengah,Kota Palu,SDN Inpres Boyaoge,6 Siswa,
16 September 2025,Sulawesi Tengah,Kabupaten Parigi Moutong,SDK Toboli Barat,18 Siswa,
25 September 2025,Sulawesi Tengah,Kabupaten Parigi Moutong,SMP Negeri 2 Taopa,27 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,SDN Inpres Tompudau,48 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,SDN Pembina,48 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,SDN saiyong,48 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,MTS Alkhairat salakan,48 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,SMP Negeri 1 Tinangkung,48 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,SMA Negeri 1 Tinangkung,48 Siswa,
17 September 2025,Sulawesi Tengah,Kabupaten Banggai Kepulauan,SMK Negeri 1 Tinangkung,50 Siswa,
11 Oktober 2025,Sulawesi Tengah,Kabupaten Banggai,SMAN 1 Moilong,123 Siswa,
11 Desember 2025,Sulawesi Tengah,Kabupaten Tojo Una Una,SDN Tampanombo,5 Siswa,
28 Januari 2026,Sulawesi Tengah,Kabupaten Buol,TK Amanah,28 Siswa,
28 Januari 2026,Sulawesi Tengah,Kabupaten Buol,SDN 1 Bunobogu,28 Siswa,
28 Januari 2026,Sulawesi Tengah,Kabupaten Buol,SDN 3 Bunobogu,28 Siswa,
28 Januari 2026,Sulawesi Tengah,Kabupaten Buol,SDN 7 Bunobogu,28 Siswa,
28 Januari 2026,Sulawesi Tengah,Kabupaten Buol,SMPN 5 Bunobogu,29 Siswa,
26 Februari 2025,Sulawesi Selatan,Kabupaten Takalar,SD Kapunrengan,10 Siswa,
26 Februari 2025,Sulawesi Selatan,Kabupaten Takalar,SD Bonto Ba'do,1 Siswa,
26 Februari 2025,Sulawesi Selatan,Kabupaten Takalar,SD Lengkese,1 Siswa,
8 Desember 2025,Sulawesi Selatan,Kabupaten Pangkajene dan Kepulauan,SD Negeri 13 Kassiloe,24 Siswa,
8 Desember 2025,Sulawesi Selatan,Kabupaten Pangkajene dan Kepulauan,SMP 5 Labakkang,24 Siswa,
8 Desember 2025,Sulawesi Selatan,Kabupaten Pangkajene dan Kepulauan,SMA 13 Pangkep Boarding School,26 Siswa,
23 April 2025,Sulawesi Tenggara,Kabupaten Bombana,SDN 33 Kasipute,13 Siswa,
11 September 2025,Sulawesi Tenggara,Kabupaten Buton,SDN 55 Buton,Puluhan Siswa,
16 September 2025,Sulawesi Tenggara,Kota Baubau,SMAN 7 Baubau,18 Siswa,
16 September 2025,Sulawesi Tenggara,Kota Baubau,SD Hidayatullah,19 Siswa,
26 September 2025,Sulawesi Tenggara,Kabupaten Konawe,siswa SDIT,8 Siswa,
26 September 2025,Sulawesi Tenggara,Kabupaten Konawe,SMKN 1 Unaaha,8 Siswa,
16 Desember 2025,Sulawesi Tenggara,Kabupaten Buton Tengah,Warga Kec. Mawasangka Tengah,117 Orang,
Januari 2026,Sulawesi Tenggara,Kota Kendari,TBA (Tidak disebutkan),66 Anak,
22 Juli 2025,Maluku Utara,Kota Ternate,SMKN 5 Kota Ternate,17 Siswa,
6 November 2025,Maluku Utara,Kota Ternate,SDN 65 Kota Ternate,25 Siswa,
6 November 2025,Maluku Utara,Kota Ternate,SD Negeri 56 Jambula,26 Siswa,
11 September 2025,Maluku,Kabupaten Maluku Barat Daya,SMPN 1 Babar Barat,40 Siswa,
18 September 2025,Maluku,Kota Tual,SDN 19 Kota Tual,17 Siswa,
19 September 2025,Maluku,Kota Ambon,SD Inpres 35 Passo,16 Siswa,
20 Oktober 2025,Maluku,Kabupaten Seram Bagian Barat,TK Cemara,59 Siswa,
20 Oktober 2025,Maluku,Kabupaten Seram Bagian Barat,SD Inpres Talaga Ratu,59 Siswa,
20 Oktober 2025,Maluku,Kabupaten Seram Bagian Barat,MIN 2 Seram Bagian Barat,59 Siswa,
21 Oktober 2025,Maluku,Kabupaten Seram Bagian Barat,SMA Negeri 1 kairatu,59 Siswa,
1 Desember 2025,Papua Barat Daya,Kabupaten Raja Ampat,SD YPK Alfa Omega,14 Siswa,
1 Desember 2025,Papua Barat Daya,Kabupaten Raja Ampat,SDN 29 Raja Ampat,14 Siswa,
1 Desember 2025,Papua Barat Daya,Kabupaten Raja Ampat,SMP YPK Alfa Omega,14 Siswa,
1 Desember 2025,Papua Barat Daya,Kabupaten Raja Ampat,SMPN 14 Raja Ampat,14 Siswa,
1 Desember 2025,Papua Barat Daya,Kabupaten Raja Ampat,MTS Language Insan Mandiri,14 Siswa,
1 Desember 2025,Papua Barat Daya,Kabupaten Raja Ampat,SMK Bukit Zaitun,16 Siswa,
30 Juli 2025,Papua Barat,Kabupaten Manokwari,SD Negeri 45 Arowi,6 Siswa,
30 Juli 2025,Papua Barat,Kabupaten Manokwari,SMP Negeri 13 Manokwari,7 Siswa,
24 November 2025,Papua Barat,Kabupaten Manokwari,SMAN 2 Manokwari,171 Siswa,
,Papua,,,,
,Papua Tengah,,,,
,Papua Pegunungan,,,,
,Papua Selatan,,,,
TOTAL,,,,± 11.390,
